name,email,date_of_birth,mobile_no,reason
Mary Chapman,Mary_Chapman@espinoza.info,1977-04-16,5702362,MOBILE NUMBER NOT 8 DIGITS
Marc Collins,Marc_Collins@richardson.com,1959/03/16,26381,MOBILE NUMBER NOT 8 DIGITS
Amber Sims,Amber_Sims@murphy.biz,1973-03-27,43947559,EMAIL NOT .NET OR .COM
Shawn Kennedy,Shawn_Kennedy@hanson.net,24-04-2007,3258991,MOBILE NUMBER NOT 8 DIGITS
Christine Farmer,Christine_Farmer@obrien.biz,23-09-1955,9091405,MOBILE NUMBER NOT 8 DIGITS
Pam Martinez,Pam_Martinez@stephens.com,02-04-1965,61196,MOBILE NUMBER NOT 8 DIGITS
Lisa Thompson,Lisa_Thompson@howard-caldwell.com,2015/01/02,974673,MOBILE NUMBER NOT 8 DIGITS
John Bennett,John_Bennett@leon.com,2015-02-26,86701,MOBILE NUMBER NOT 8 DIGITS
Ronald Dixon,Ronald_Dixon@hale-kirk.com,05/07/1992,59611,MOBILE NUMBER NOT 8 DIGITS
Carrie Jones,Carrie_Jones@fox.biz,1956/10/17,9685145,MOBILE NUMBER NOT 8 DIGITS
Tiffany Carrillo,Tiffany_Carrillo@hoover-brown.org,1993-05-16,72843351,EMAIL NOT .NET OR .COM
Katie Hanna,Katie_Hanna@chavez.com,06/28/1984,632367,MOBILE NUMBER NOT 8 DIGITS
Seth Villanueva,Seth_Villanueva@mccoy-west.info,1969/05/02,852117,MOBILE NUMBER NOT 8 DIGITS
Donna Lewis,Donna_Lewis@myers-dominguez.org,1980-04-22,86779671,EMAIL NOT .NET OR .COM
Tina Hunter,Tina_Hunter@peterson.info,1968/08/01,495393,MOBILE NUMBER NOT 8 DIGITS
Sheri Beck,Sheri_Beck@lewis.info,21-01-1966,801807,MOBILE NUMBER NOT 8 DIGITS
Kristen Hall,Kristen_Hall@clay.com,1981/06/02,678123,MOBILE NUMBER NOT 8 DIGITS
Douglas Morgan,Douglas_Morgan@fritz-duncan.biz,1952-03-20,51636655,EMAIL NOT .NET OR .COM
Zachary Miller,Zachary_Miller@shelton.com,1977-03-08,69166,MOBILE NUMBER NOT 8 DIGITS
Teresa Collins,Teresa_Collins@reed.net,1950/01/17,41601,MOBILE NUMBER NOT 8 DIGITS
Devon Roberts,Devon_Roberts@lewis.biz,2003-10-30,81450999,EMAIL NOT .NET OR .COM
Amy Gray,Amy_Gray@dunlap.org,1965-10-17,271761,MOBILE NUMBER NOT 8 DIGITS
Tracy Wagner,Tracy_Wagner@anderson-martin.com,10/09/1959,748809,MOBILE NUMBER NOT 8 DIGITS
Eric West,Eric_West@fields-brewer.com,21-02-2014,59066,MOBILE NUMBER NOT 8 DIGITS
Denise Harper,Denise_Harper@lyons.com,01/07/2005,3642836,MOBILE NUMBER NOT 8 DIGITS
Brianna Richards,Brianna_Richards@blevins.com,02-05-1967,784245,MOBILE NUMBER NOT 8 DIGITS
Shirley Garcia,Shirley_Garcia@byrd.com,1952-04-24,5999645,MOBILE NUMBER NOT 8 DIGITS
James Byrd,James_Byrd@andersen-nguyen.net,22-02-1975,64951,MOBILE NUMBER NOT 8 DIGITS
Krista Mata,Krista_Mata@hernandez-glenn.biz,2005-12-12,715047,MOBILE NUMBER NOT 8 DIGITS
Vernon Gomez,Vernon_Gomez@brown.net,29-11-2000,25171,MOBILE NUMBER NOT 8 DIGITS
John Gilbert,John_Gilbert@williams.net,1963/03/27,65006,MOBILE NUMBER NOT 8 DIGITS
Alicia Medina,Alicia_Medina@carrillo-may.com,05/04/1966,77576,MOBILE NUMBER NOT 8 DIGITS
Vanessa Campbell,Vanessa_Campbell@martinez.biz,01-01-1969,5662427,MOBILE NUMBER NOT 8 DIGITS
Pamela Berg,Pamela_Berg@robinson.com,2011-10-27,834261,MOBILE NUMBER NOT 8 DIGITS
Thomas Austin,Thomas_Austin@kline.com,27-10-1972,83171,MOBILE NUMBER NOT 8 DIGITS
Lindsey Powers,Lindsey_Powers@dixon.net,1976/12/27,33441,MOBILE NUMBER NOT 8 DIGITS
Jacqueline Sawyer,Jacqueline_Sawyer@ruiz-marshall.com,24-04-1957,207027,MOBILE NUMBER NOT 8 DIGITS
Nancy Wilkins,Nancy_Wilkins@webster.biz,28-12-2013,439839,MOBILE NUMBER NOT 8 DIGITS
Shane White,Shane_White@mccoy.biz,04/21/1996,8925435,MOBILE NUMBER NOT 8 DIGITS
Daniel Rivas,Daniel_Rivas@cain.net,2016/03/18,1239043,MOBILE NUMBER NOT 8 DIGITS
Andrew Medina,Andrew_Medina@taylor-campbell.biz,23-04-2004,6951680,MOBILE NUMBER NOT 8 DIGITS
Donald Carson,Donald_Carson@robinson.com,01/17/1966,79831,MOBILE NUMBER NOT 8 DIGITS
Jason Hamilton,Jason_Hamilton@lopez.net,2014/05/19,99086,MOBILE NUMBER NOT 8 DIGITS
Mark Perez,Mark_Perez@mccall.com,1958-11-03,316719,MOBILE NUMBER NOT 8 DIGITS
Christina Mann,Christina_Mann@watson.info,04/25/1953,1839 1991,MOBILE NUMBER NOT 8 DIGITS
Matthew Miller,Matthew_Miller@jenkins-jackson.com,02/01/2006,220101,MOBILE NUMBER NOT 8 DIGITS
Nicholas Mccarthy,Nicholas_Mccarthy@williams.com,06-07-1963,9323910,MOBILE NUMBER NOT 8 DIGITS
John Barnett,John_Barnett@lewis.org,09/06/1973,713175,MOBILE NUMBER NOT 8 DIGITS
Paige Hudson,Paige_Hudson@harris-thomas.com,05-10-1974,29771,MOBILE NUMBER NOT 8 DIGITS
Dr. Edward Marshall MD,Edward_Marshall@estes-jensen.com,1977-11-24,47486,MOBILE NUMBER NOT 8 DIGITS
Gina Higgins,Gina_Higgins@boyer.com,1953/07/31,6852882,MOBILE NUMBER NOT 8 DIGITS
Linda Ellis,Linda_Ellis@gilbert.org,01/13/1958,41051,MOBILE NUMBER NOT 8 DIGITS
Daniel Wade,Daniel_Wade@taylor-bernard.org,2011/07/05,37401,MOBILE NUMBER NOT 8 DIGITS
Jessica Weiss,Jessica_Weiss@davidson.net,1972/02/06,565563,MOBILE NUMBER NOT 8 DIGITS
Erik Aguilar,Erik_Aguilar@bates.com,1982/04/02,8425306,MOBILE NUMBER NOT 8 DIGITS
Mr. Gregg Baker,Gregg_Baker@ho.info,03-09-2011,4201310,MOBILE NUMBER NOT 8 DIGITS
Bradley Compton,Bradley_Compton@west-lee.com,05/12/1988,1384293,MOBILE NUMBER NOT 8 DIGITS
Steve Mccall,Steve_Mccall@flores.com,20-07-1966,89186,MOBILE NUMBER NOT 8 DIGITS
Thomas Hull,Thomas_Hull@schmidt.com,12/19/2016,6123 5491,MOBILE NUMBER NOT 8 DIGITS
Carla Cunningham,Carla_Cunningham@barrett.com,12/12/1967,3770159,MOBILE NUMBER NOT 8 DIGITS
Rachel Sullivan,Rachel_Sullivan@perkins.info,09/29/1982,5324222,MOBILE NUMBER NOT 8 DIGITS
Kayla Wright,Kayla_Wright@cook.com,24-02-2009,631197,MOBILE NUMBER NOT 8 DIGITS
Andrew Tanner,Andrew_Tanner@underwood.com,04/29/1995,309333,MOBILE NUMBER NOT 8 DIGITS
Aaron Hansen,Aaron_Hansen@mckinney.com,01/28/1998,5163 9887,MOBILE NUMBER NOT 8 DIGITS
Hunter Atkinson,Hunter_Atkinson@foster.com,05/22/1994,5743046,MOBILE NUMBER NOT 8 DIGITS
Richard Williams,Richard_Williams@vance-ramos.net,1982-05-03,14641,MOBILE NUMBER NOT 8 DIGITS
Frank Martinez,Frank_Martinez@garcia-johnson.biz,26-08-2015,58076,MOBILE NUMBER NOT 8 DIGITS
Timothy Burns,Timothy_Burns@diaz.info,1967-07-03,2420132,MOBILE NUMBER NOT 8 DIGITS
Henry White DDS,Henry_White@daniels-lewis.com,2005/02/16,55186,MOBILE NUMBER NOT 8 DIGITS
Amanda Mccoy,Amanda_Mccoy@hernandez.biz,1973/01/15,2033991,MOBILE NUMBER NOT 8 DIGITS
Pamela Cox,Pamela_Cox@oneill.com,05/21/1963,998991,MOBILE NUMBER NOT 8 DIGITS
Linda Ray,Linda_Ray@walters.net,10/22/1973,187113,MOBILE NUMBER NOT 8 DIGITS
Stephen Reid,Stephen_Reid@howell.com,07-05-1997,958833,MOBILE NUMBER NOT 8 DIGITS
Kevin Landry,Kevin_Landry@miller-meyer.com,01/22/1999,6007009,MOBILE NUMBER NOT 8 DIGITS
Jamie Porter,Jamie_Porter@farmer-brown.com,1971/07/05,2761326,MOBILE NUMBER NOT 8 DIGITS
Victor Marsh,Victor_Marsh@smith-olson.org,09-08-1971,52026823,EMAIL NOT .NET OR .COM
Mr. Ryan Rodriguez,Ryan_Rodriguez@green.com,10/16/2008,420789,MOBILE NUMBER NOT 8 DIGITS
Brittany Bradley,Brittany_Bradley@green-allen.org,04/16/2005,3546383,MOBILE NUMBER NOT 8 DIGITS
Amy Wallace,Amy_Wallace@martin-bolton.org,08/23/1973,738579,MOBILE NUMBER NOT 8 DIGITS
Timothy King,Timothy_King@johnson-smith.com,1953/10/01,669447,MOBILE NUMBER NOT 8 DIGITS
Charles Jennings,Charles_Jennings@cochran.net,07/14/1975,7091 3863,MOBILE NUMBER NOT 8 DIGITS
Jacqueline Briggs,Jacqueline_Briggs@howell-adams.info,1995/10/30,1979531,MOBILE NUMBER NOT 8 DIGITS
Laurie Gonzales,Laurie_Gonzales@jones.net,26-07-1971,589965,MOBILE NUMBER NOT 8 DIGITS
Donald Molina,Donald_Molina@berry-duncan.net,09-10-2018,3528918,MOBILE NUMBER NOT 8 DIGITS
Ricky Allen,Ricky_Allen@roberts-mendoza.com,06/19/1961,6143 3467,MOBILE NUMBER NOT 8 DIGITS
Catherine Rodriguez,Catherine_Rodriguez@owens-gibson.com,1993/07/24,840063,MOBILE NUMBER NOT 8 DIGITS
Mr. Daniel Torres,Daniel_Torres@dunlap.biz,04/23/1981,9875846,MOBILE NUMBER NOT 8 DIGITS
David Shepherd,David_Shepherd@thompson.com,13-08-1953,8071239,MOBILE NUMBER NOT 8 DIGITS
Jonathan Hansen,Jonathan_Hansen@wright.info,1977/08/29,28556,MOBILE NUMBER NOT 8 DIGITS
Benjamin Griffin,Benjamin_Griffin@brown.org,29-01-1962,17280391,EMAIL NOT .NET OR .COM
Tracey Hess,Tracey_Hess@thompson-moore.biz,08-11-1980,3512601,MOBILE NUMBER NOT 8 DIGITS
Victoria Walker,Victoria_Walker@jacobs.biz,1965-12-01,76041,MOBILE NUMBER NOT 8 DIGITS
John Gibbs,John_Gibbs@cox.biz,03/28/1980,73806,MOBILE NUMBER NOT 8 DIGITS
Angela Torres,Angela_Torres@henry.com,31-07-2007,897705,MOBILE NUMBER NOT 8 DIGITS
Harold Glover,Harold_Glover@manning.com,04-04-1965,33596,MOBILE NUMBER NOT 8 DIGITS
Dawn Myers,Dawn_Myers@cross-thomas.com,1993/09/21,7755245,MOBILE NUMBER NOT 8 DIGITS
Ashley Spencer,Ashley_Spencer@anderson.com,01/26/1991,6855 5775,MOBILE NUMBER NOT 8 DIGITS
Mary Walters,Mary_Walters@russell-garrett.info,1970/03/30,3803640,MOBILE NUMBER NOT 8 DIGITS
Christina Davenport,Christina_Davenport@cox-williams.info,1954-10-10,668277,MOBILE NUMBER NOT 8 DIGITS
Brian Johnson,Brian_Johnson@benton.com,03/23/1977,680751,MOBILE NUMBER NOT 8 DIGITS
Crystal Contreras,Crystal_Contreras@ramirez.com,1995-02-18,318579,MOBILE NUMBER NOT 8 DIGITS
Tanya Turner,Tanya_Turner@simpson-dennis.com,1989/08/13,52251,MOBILE NUMBER NOT 8 DIGITS
Katelyn Durham,Katelyn_Durham@mcneil.com,15-10-2010,2600732,MOBILE NUMBER NOT 8 DIGITS
Nathaniel Wilson,Nathaniel_Wilson@fisher.org,16-12-1957,25386,MOBILE NUMBER NOT 8 DIGITS
Joseph Long,Joseph_Long@mcguire-rodriguez.org,25-11-1981,83686,MOBILE NUMBER NOT 8 DIGITS
Mallory Hall,Mallory_Hall@moore-mckinney.com,03/26/2006,35866,MOBILE NUMBER NOT 8 DIGITS
Bianca Chavez,Bianca_Chavez@brooks-hendrix.com,02-05-1985,633609,MOBILE NUMBER NOT 8 DIGITS
Victoria Strickland,Victoria_Strickland@mccarthy-stewart.com,07/30/1953,3159 5971,MOBILE NUMBER NOT 8 DIGITS
Scott Jackson,Scott_Jackson@johnston.biz,29-10-2013,216321,MOBILE NUMBER NOT 8 DIGITS
Patrick Smith,Patrick_Smith@molina.net,01/29/1972,7639 8335,MOBILE NUMBER NOT 8 DIGITS
Samuel West,Samuel_West@johnson-ryan.net,06/27/2002,5035 4899,MOBILE NUMBER NOT 8 DIGITS
Dr. Brian Baker,Brian_Baker@hodges-bowers.net,08/01/1957,1998340,MOBILE NUMBER NOT 8 DIGITS
Joanna Fernandez,Joanna_Fernandez@garcia.biz,1960/08/03,95206,MOBILE NUMBER NOT 8 DIGITS
Jeffrey Berg,Jeffrey_Berg@tran.net,05/30/1970,28191,MOBILE NUMBER NOT 8 DIGITS
David Fuller,David_Fuller@holland.net,2011/08/06,786921,MOBILE NUMBER NOT 8 DIGITS
Laura Kramer,Laura_Kramer@white.net,1959-02-03,72611,MOBILE NUMBER NOT 8 DIGITS
Melinda Lambert,Melinda_Lambert@rogers.com,04-10-1951,833751,MOBILE NUMBER NOT 8 DIGITS
Jill Thornton,Jill_Thornton@brown-carrillo.biz,1987/04/15,369021,MOBILE NUMBER NOT 8 DIGITS
Beth Kim,Beth_Kim@mckinney.com,1993/07/27,7678476,MOBILE NUMBER NOT 8 DIGITS
Kelly Thomas,Kelly_Thomas@martin-aguilar.com,27-12-1998,4822833,MOBILE NUMBER NOT 8 DIGITS
Teresa James,Teresa_James@white.com,2017-11-15,98296,MOBILE NUMBER NOT 8 DIGITS
Jasmine Johnson,Jasmine_Johnson@weaver.net,2007-11-14,38786455,BELOW 18
Brian Wood,Brian_Wood@jones.com,2003/07/05,478965,MOBILE NUMBER NOT 8 DIGITS
Deborah Estes,Deborah_Estes@foster-juarez.info,2016-11-09,5563776,MOBILE NUMBER NOT 8 DIGITS
Jeremy Knight,Jeremy_Knight@farrell.com,18-10-1985,36631,MOBILE NUMBER NOT 8 DIGITS
Abigail Mccoy,Abigail_Mccoy@washington.com,12/24/2007,3983 9051,MOBILE NUMBER NOT 8 DIGITS
Chad Sellers,Chad_Sellers@mccoy.org,1974/01/03,201111,MOBILE NUMBER NOT 8 DIGITS
James Terry,James_Terry@valencia.info,2004-06-04,160731,MOBILE NUMBER NOT 8 DIGITS
Rachael Watson,Rachael_Watson@miller-meyer.biz,02/02/2011,964347,MOBILE NUMBER NOT 8 DIGITS
Matthew Salazar,Matthew_Salazar@bernard.com,09/21/1956,7436157,MOBILE NUMBER NOT 8 DIGITS
Christopher Small,Christopher_Small@miller.net,12-10-2016,4818122,MOBILE NUMBER NOT 8 DIGITS
Noah Smith,Noah_Smith@waller.info,1995/12/01,925137,MOBILE NUMBER NOT 8 DIGITS
Steven Mack,Steven_Mack@fisher.biz,2001-07-26,80966,MOBILE NUMBER NOT 8 DIGITS
Casey Castillo,Casey_Castillo@clark.com,11/16/1958,75866,MOBILE NUMBER NOT 8 DIGITS
Karen Sutton,Karen_Sutton@lin-nguyen.com,12/22/1970,66336,MOBILE NUMBER NOT 8 DIGITS
John Martinez,John_Martinez@robinson.com,2012-05-02,57866,MOBILE NUMBER NOT 8 DIGITS
Michele Harrington,Michele_Harrington@dean.biz,1998/08/05,7182190,MOBILE NUMBER NOT 8 DIGITS
Cheyenne Brown,Cheyenne_Brown@lee.com,31-07-1993,7463751,MOBILE NUMBER NOT 8 DIGITS
David Turner,David_Turner@johnston-hernandez.com,1976/10/18,496491,MOBILE NUMBER NOT 8 DIGITS
Brian Carter,Brian_Carter@brown.com,09/17/1975,2396584,MOBILE NUMBER NOT 8 DIGITS
Anthony Carson,Anthony_Carson@mcintyre.com,05/04/1956,3663759,MOBILE NUMBER NOT 8 DIGITS
Janet Zavala,Janet_Zavala@chavez.com,1972-01-16,42521,MOBILE NUMBER NOT 8 DIGITS
Carla Cannon,Carla_Cannon@olson.com,1952-10-08,53351,MOBILE NUMBER NOT 8 DIGITS
Lacey Lopez,Lacey_Lopez@savage.org,1961-04-30,5649407,MOBILE NUMBER NOT 8 DIGITS
Amy Copeland,Amy_Copeland@white.com,10/11/1989,535389,MOBILE NUMBER NOT 8 DIGITS
Kristin Jacobs,Kristin_Jacobs@gardner.com,1960/03/03,67891,MOBILE NUMBER NOT 8 DIGITS
Antonio Ferguson,Antonio_Ferguson@bailey.com,2008/07/10,8239470,MOBILE NUMBER NOT 8 DIGITS
Isabella Bush DDS,Isabella_Bush@reed.info,1964/10/31,9726109,MOBILE NUMBER NOT 8 DIGITS
James Davidson,James_Davidson@brown.info,1955/12/14,67973167,EMAIL NOT .NET OR .COM
Holly Mendoza,Holly_Mendoza@pratt.com,14-03-1980,226641,MOBILE NUMBER NOT 8 DIGITS
Jordan Lopez,Jordan_Lopez@barnes-mathews.com,2006/12/20,413133,MOBILE NUMBER NOT 8 DIGITS
Antonio Ryan,Antonio_Ryan@hall-herrera.com,09-09-2010,87921,MOBILE NUMBER NOT 8 DIGITS
Raymond Ware,Raymond_Ware@walsh.com,08/15/2004,8263 2731,MOBILE NUMBER NOT 8 DIGITS
Alexander Stafford,Alexander_Stafford@farley.com,10-02-2006,82406,MOBILE NUMBER NOT 8 DIGITS
Kristen Rice,Kristen_Rice@johnson.com,1955-08-25,78291,MOBILE NUMBER NOT 8 DIGITS
Joseph Moore,Joseph_Moore@mckenzie.com,1995/11/07,17051,MOBILE NUMBER NOT 8 DIGITS
Bryan Riley,Bryan_Riley@martin.biz,1959-10-03,3220449,MOBILE NUMBER NOT 8 DIGITS
Diana Flores,Diana_Flores@snow.com,29-03-1978,336339,MOBILE NUMBER NOT 8 DIGITS
Kathryn Lawrence MD,Kathryn_Lawrence@miller-hoffman.com,2009-01-21,34701,MOBILE NUMBER NOT 8 DIGITS
Deanna Smith,Deanna_Smith@cooke.com,04/16/1951,5039 5271,MOBILE NUMBER NOT 8 DIGITS
Nancy Miller,Nancy_Miller@hansen.info,1985-09-27,90626,MOBILE NUMBER NOT 8 DIGITS
David Horton,David_Horton@bullock-reyes.com,1974-02-16,421611,MOBILE NUMBER NOT 8 DIGITS
Zachary Esparza,Zachary_Esparza@walton.com,1992/04/29,4635982,MOBILE NUMBER NOT 8 DIGITS
Victoria Moreno,Victoria_Moreno@chen-nelson.com,01-07-1970,29941,MOBILE NUMBER NOT 8 DIGITS
Douglas Skinner,Douglas_Skinner@ward.biz,1991/01/15,986439,MOBILE NUMBER NOT 8 DIGITS
Timothy Spencer,Timothy_Spencer@morrison.net,06/23/1960,51646,MOBILE NUMBER NOT 8 DIGITS
Daniel Oconnor,Daniel_Oconnor@tucker.org,16-12-2006,29838831,EMAIL NOT .NET OR .COM
Ryan Fitzgerald,Ryan_Fitzgerald@whitaker-davis.com,1970/09/12,5849257,MOBILE NUMBER NOT 8 DIGITS
Natalie Martinez,Natalie_Martinez@martinez.com,2018/06/09,4714942,MOBILE NUMBER NOT 8 DIGITS
Joyce Hayes,Joyce_Hayes@morris.biz,2006-09-06,43466,MOBILE NUMBER NOT 8 DIGITS
Amber Morris,Amber_Morris@wong.com,07/23/1964,8998046,MOBILE NUMBER NOT 8 DIGITS
Tiffany Jackson,Tiffany_Jackson@avery.biz,19-05-2004,2914570,MOBILE NUMBER NOT 8 DIGITS
Tiffany Vasquez,Tiffany_Vasquez@greene-smith.com,2005/05/17,799671,MOBILE NUMBER NOT 8 DIGITS
John Douglas,John_Douglas@jensen.info,03/02/1999,2207 2627,MOBILE NUMBER NOT 8 DIGITS
William Reed,William_Reed@morales.org,16-02-1993,6807207,MOBILE NUMBER NOT 8 DIGITS
Nicole James,Nicole_James@brown-mills.com,1991/01/07,844311,MOBILE NUMBER NOT 8 DIGITS
Mrs. Danielle Miller,Danielle_Miller@hughes.com,1967-02-12,97561,MOBILE NUMBER NOT 8 DIGITS
Sarah Miller,Sarah_Miller@may.com,1990-01-23,238173,MOBILE NUMBER NOT 8 DIGITS
John Morrison,John_Morrison@anderson-lucas.com,14-03-1955,51106,MOBILE NUMBER NOT 8 DIGITS
Daniel Smith,Daniel_Smith@harris.com,1988/11/10,279231,MOBILE NUMBER NOT 8 DIGITS
Kurt Butler,Kurt_Butler@taylor.net,06/21/1964,4339 4675,MOBILE NUMBER NOT 8 DIGITS
Derrick Campbell,Derrick_Campbell@webb.com,1985/01/10,2978858,MOBILE NUMBER NOT 8 DIGITS
Jennifer Ibarra,Jennifer_Ibarra@ibarra-medina.com,1962/09/14,346227,MOBILE NUMBER NOT 8 DIGITS
Timothy Black,Timothy_Black@robinson-williams.com,2008-09-07,17276,MOBILE NUMBER NOT 8 DIGITS
Shawn Blanchard,Shawn_Blanchard@robinson.org,1991/06/27,67761,MOBILE NUMBER NOT 8 DIGITS
Brian Johnson,Brian_Johnson@rodriguez.biz,2006/12/14,669405,MOBILE NUMBER NOT 8 DIGITS
James White,James_White@moran-sullivan.com,1987-09-06,676143,MOBILE NUMBER NOT 8 DIGITS
William Smith,William_Smith@woods-hicks.net,2007-03-14,52860751,BELOW 18
Mrs. Hannah Cummings,Hannah_Cummings@anderson-hansen.com,01/05/2008,1511896,MOBILE NUMBER NOT 8 DIGITS
Philip Mills,Philip_Mills@riley.net,11/02/1963,4903634,MOBILE NUMBER NOT 8 DIGITS
Emily Berry,Emily_Berry@anderson.com,11/20/2006,613125,MOBILE NUMBER NOT 8 DIGITS
Casey Coffey,Casey_Coffey@west.com,2004-08-02,26436239,BELOW 18
Regina Johnson,Regina_Johnson@hernandez.org,1953/05/14,9976058,MOBILE NUMBER NOT 8 DIGITS
Steven Waters,Steven_Waters@davis.com,04/20/2007,2539 7755,MOBILE NUMBER NOT 8 DIGITS
Joshua Gonzalez,Joshua_Gonzalez@greene.com,1980/09/24,1884597,MOBILE NUMBER NOT 8 DIGITS
Kimberly Green,Kimberly_Green@sanchez.com,10/09/2017,2367 6815,MOBILE NUMBER NOT 8 DIGITS
Thomas Nelson DDS,Thomas_Nelson@brandt.info,1993/10/02,12978607,EMAIL NOT .NET OR .COM
Linda Barajas,Linda_Barajas@ramirez.com,09-12-1985,93651,MOBILE NUMBER NOT 8 DIGITS
Amber Jensen,Amber_Jensen@reed.biz,2003-05-23,965115,MOBILE NUMBER NOT 8 DIGITS
Elizabeth Benitez,Elizabeth_Benitez@goodwin-sullivan.biz,1956/03/23,4224823,MOBILE NUMBER NOT 8 DIGITS
Jonathan Hernandez,Jonathan_Hernandez@hood-abbott.com,1998/10/02,61501,MOBILE NUMBER NOT 8 DIGITS
Benjamin Stevens,Benjamin_Stevens@walton-gamble.com,1999/11/12,838161,MOBILE NUMBER NOT 8 DIGITS
Isaac Roth,Isaac_Roth@thompson.com,01/02/1961,706593,MOBILE NUMBER NOT 8 DIGITS
Lauren Smith,Lauren_Smith@davis.info,01-08-1978,34446,MOBILE NUMBER NOT 8 DIGITS
Nicole Duffy MD,Nicole_Duffy@davenport-nelson.info,08-01-2009,18095111,EMAIL NOT .NET OR .COM
Emily Vega,Emily_Vega@butler.com,05/08/1996,887709,MOBILE NUMBER NOT 8 DIGITS
Jesse Stone,Jesse_Stone@morales.com,09/08/2004,3149819,MOBILE NUMBER NOT 8 DIGITS
Thomas Horne,Thomas_Horne@floyd.info,18-07-1971,82457007,EMAIL NOT .NET OR .COM
Jo Humphrey,Jo_Humphrey@ramos.com,10/31/1988,71786,MOBILE NUMBER NOT 8 DIGITS
Nicholas Marquez,Nicholas_Marquez@good.info,03/21/1990,2188138,MOBILE NUMBER NOT 8 DIGITS
Cathy Todd,Cathy_Todd@acevedo.biz,1964/04/21,74009191,EMAIL NOT .NET OR .COM
Vicki Harmon,Vicki_Harmon@fry.org,1988-09-02,20227951,EMAIL NOT .NET OR .COM
Brent Lloyd,Brent_Lloyd@lester-smith.com,1971-06-21,593355,MOBILE NUMBER NOT 8 DIGITS
Jonathan Hill,Jonathan_Hill@butler-murphy.info,1950/12/14,184365,MOBILE NUMBER NOT 8 DIGITS
Timothy Kelly,Timothy_Kelly@frye-brown.com,1977-04-20,68576,MOBILE NUMBER NOT 8 DIGITS
Donna Martinez,Donna_Martinez@rich-cook.com,2001/12/10,343875,MOBILE NUMBER NOT 8 DIGITS
Tammy Miles,Tammy_Miles@allen.com,03/07/2014,40571,MOBILE NUMBER NOT 8 DIGITS
Stephen Fields,Stephen_Fields@wilson.com,1958-07-23,7179348,MOBILE NUMBER NOT 8 DIGITS
Paige Kemp,Paige_Kemp@green.org,03/31/1984,9431 6667,MOBILE NUMBER NOT 8 DIGITS
Hannah Myers,Hannah_Myers@schaefer.com,09-09-1950,17826,MOBILE NUMBER NOT 8 DIGITS
Tanya Garcia,Tanya_Garcia@vazquez.com,1978-12-09,35021,MOBILE NUMBER NOT 8 DIGITS
Elizabeth Moody,Elizabeth_Moody@parker.org,2012/06/09,222735,MOBILE NUMBER NOT 8 DIGITS
Rebecca Santos,Rebecca_Santos@long.com,2003-04-30,8681023,MOBILE NUMBER NOT 8 DIGITS
Tammy Williams,Tammy_Williams@greer.info,03-06-1963,1276297,MOBILE NUMBER NOT 8 DIGITS
Lauren Zimmerman DDS,Lauren_Zimmerman@chan.com,1997/06/28,325953,MOBILE NUMBER NOT 8 DIGITS
Amy Reed,Amy_Reed@chung.com,2000-01-05,8444388,MOBILE NUMBER NOT 8 DIGITS
Peter Holland,Peter_Holland@lopez-norris.com,09/27/1974,802413,MOBILE NUMBER NOT 8 DIGITS
Stephen Martinez,Stephen_Martinez@schmidt.com,1993-12-20,39056,MOBILE NUMBER NOT 8 DIGITS
Evan Martinez,Evan_Martinez@adkins-dennis.com,02/08/1989,548331,MOBILE NUMBER NOT 8 DIGITS
Stephanie Smith,Stephanie_Smith@oconnor.com,2017/05/30,634983,MOBILE NUMBER NOT 8 DIGITS
Robert Schultz,Robert_Schultz@vance.com,05/30/2000,582441,MOBILE NUMBER NOT 8 DIGITS
Steven Price,Steven_Price@thompson-williams.com,1998/11/15,45636,MOBILE NUMBER NOT 8 DIGITS
William Park,William_Park@peterson.com,1960/09/14,755733,MOBILE NUMBER NOT 8 DIGITS
Cole Butler,Cole_Butler@campbell.info,25-12-2009,940509,MOBILE NUMBER NOT 8 DIGITS
Jessica Prince,Jessica_Prince@rodriguez-hill.com,1995/12/27,596913,MOBILE NUMBER NOT 8 DIGITS
Brian Smith,Brian_Smith@martinez.com,1979-03-02,853017,MOBILE NUMBER NOT 8 DIGITS
Mark Ortiz,Mark_Ortiz@costa-barker.info,2000/08/01,5881751,MOBILE NUMBER NOT 8 DIGITS
Shane Garcia,Shane_Garcia@ingram-ford.com,12/23/2005,8043 5507,MOBILE NUMBER NOT 8 DIGITS
Tammy Lowe,Tammy_Lowe@hart.info,05-02-2011,43251,MOBILE NUMBER NOT 8 DIGITS
Bonnie Parsons,Bonnie_Parsons@elliott.info,1999-11-27,887463,MOBILE NUMBER NOT 8 DIGITS
Christopher Gross,Christopher_Gross@grimes.net,2003/11/14,49217831,BELOW 18
Diane Lee,Diane_Lee@mills-robinson.org,07/14/1988,968625,MOBILE NUMBER NOT 8 DIGITS
Destiny Thompson,Destiny_Thompson@wood.com,06/30/2008,419979,MOBILE NUMBER NOT 8 DIGITS
Carol Johnston,Carol_Johnston@anderson-brown.com,01/19/1968,6968634,MOBILE NUMBER NOT 8 DIGITS
Catherine Cline,Catherine_Cline@smith.net,04/30/2006,919797,MOBILE NUMBER NOT 8 DIGITS
Joseph Bond,Joseph_Bond@may.biz,1961/08/27,58099375,EMAIL NOT .NET OR .COM
Whitney Russell,Whitney_Russell@ellis.com,1958-02-13,1790769,MOBILE NUMBER NOT 8 DIGITS
